Crop;Approx_domestication;First_domestication_location;Soil_depth;Soil_nutrients;Preferred_rainfall;Temperature_range_C;Insolation;Preferred_soil_texture;Yield_low_t_ha;Yield_avg_t_ha;Yield_high_t_ha;Nitrogen Fixing (yes/no);Fibrous (yes/no);Spice (yes/no);Used for brewing tea/coffee/drinks;Fermented for beer/wine (yes/no);Sources (URLs), separate with `|` for parsing
Onion (Allium cepa);~5000–4000 BP;Central Asia / Middle East;Shallow;Medium;300–900 mm/yr;5–30;High;Loam, sandy loam;5;20;60;;;;;;
Garlic (Allium sativum);Ancient;Central Asia / Mediterranean;Shallow;Medium;300–900 mm/yr;5–30;High;Loam;5;10;30;;;;;;
Leek (Allium ampeloprasum);Ancient;Mediterranean;Shallow;Medium;400–1000 mm/yr;5–25;Medium;Loam;3;10;25;;;;;;
Carrot (Daucus carota);Domesticated ~1000–500 BP (roots improved earlier);Central Asia / Europe;Deep;Medium;400–900 mm/yr;5–25;Medium;Sandy loam, deep friable;10;25;60;;;;;;
Beet (Beta vulgaris);Domesticated historically;Mediterranean/Near East;Medium;Medium;400–900 mm/yr;5–25;Medium;Loam;20;45;80;;;;;;
Turnip (Brassica rapa);Ancient;Europe/Asia;Shallow;Medium;400–1000 mm/yr;5–25;Medium;Loam;5;15;30;;;;;;
Cabbage / Kale / Brassicas (Brassica oleracea / B. rapa variants);Ancient;Europe / Mediterranean;Shallow–medium;Medium;500–1200 mm/yr;5–25;Medium;Loam;10;30;80;;;;;;
Spinach (Spinacia oleracea);Ancient;Persia (Iran);Shallow;Medium;500–1000 mm/yr;5–25;Medium;Loam;5;15;30;;;;;;
Lettuce (Lactuca sativa);Ancient;Mediterranean;Shallow;Medium;400–1000 mm/yr;5–25;Medium;Loam;10;20;60 (leaf t/ha);;;;;;
Tomato (Solanum lycopersicum);Domesticated ~2000–1500 BP;Western South America / Mesoamerica;Shallow;Medium;600–1200 mm/yr;10–30;High;Loam, well-drained;10;30;90 (fruit t/ha greenhouse higher);;;;;;
Pepper (Capsicum spp.);Domesticated ~6000 BP;Central/South America;Shallow;Medium;600–1500 mm/yr;15–30;High;Loam;5;15;40;;;;;;
Eggplant / Aubergine (Solanum melongena);~4000 BP;South/Southeast Asia;Shallow–medium;Medium;600–1200 mm/yr;15–30;High;Loam;5;15;45;;;;;;
Okra (Abelmoschus esculentus);Ancient;Africa;Shallow;Medium;600–1500 mm/yr;20–35;High;Loam;3;8;20;;;;;;
Pumpkin / Squash / Cucurbits (Cucurbita spp.);~10000 BP (squash);Mesoamerica;Shallow;Medium;400–1200 mm/yr;10–30;High;Loam;5;20;70;;;;;;
Cucumber (Cucumis sativus);Ancient;South Asia;Shallow;Medium;600–1200 mm/yr;15–30;High;Loam;10;30;100 (greenhouse);;;;;;
Melons (Cucumis melo);Ancient;Africa / Asia;Shallow;Medium;400–1200 mm/yr;15–35;High;Loam;5;20;50;;;;;;
Sunflower (Helianthus annuus) (oilseed/edible seed);Ancient;North America;Medium;Medium;400–800 mm/yr;10–30;High;Loam;0.5;1.5;3;;;;;;
Mustard (Brassica juncea/Brassica nigra);Ancient;Indian subcontinent;Shallow;Medium;400–900 mm/yr;5–30;Medium;Loam;0.3;1;2.5;;;;;;
Black pepper (Piper nigrum);Domesticated ~2000+ BP;Western Ghats, India;Shallow;High;1500–3000 mm/yr;20–30;Medium;Loam, high organic;0.5;2;6;;;;;;
Cardamom (Elettaria cardamomum);Ancient;Western Ghats (India);Shallow;High;1500–3000 mm/yr;15–30;Medium;Loam, shady forest soils;0.2;0.6;1.5;;;;;;
Cinnamon (Cinnamomum verum);Ancient;Sri Lanka / South India;Shallow;High;1500–3000 mm/yr;18–30;Medium;Loam, well-drained;0.2;0.8;2;;;;;;
Clove (Syzygium aromaticum);Domesticated;Maluku Islands;Shallow;High;1500–3000 mm/yr;20–30;High;Loam;0.3;1;3;;;;;;
Vanilla (Vanilla planifolia);Domesticated;Mexico (Totonac region);Shallow;High;1500–3000 mm/yr;20–30;High;Humus-rich, well-drained;0.1;0.3;1.0 (vanilla bean t/ha);;;;;;
Ginger (Zingiber officinale);Ancient;Southeast Asia;Shallow;High;1200–2500 mm/yr;20–30;High;Loam, rich organic;5;15;40;;;;;;
Turmeric (Curcuma longa);Ancient;Southeast Asia/India;Shallow;High;1200–2500 mm/yr;20–30;High;Loam, high organic;5;10;25;;;;;;
Wasabi (Eutrema japonicum);Cultivated historically;Japan;Shallow;High;1500–3000 mm/yr;8–20;Low–Medium;Moist, rich soils;0.2;0.6;1.5;;;;;;
Saffron (Crocus sativus);Domesticated ~3000 BP;Mediterranean / Southwest Asia;Shallow;Low–medium;300–800 mm/yr;5–25;High;Well-drained, sandy loam;0.005;0.02;0.05 (harvested spice t/ha);;;;;;
Nutmeg / Mace (Myristica fragrans);Domesticated;Moluccas;Shallow–medium;High;1500–3000 mm/yr;20–30;High;Loam, rich;0.2;0.6;1.5;;;;;;
Clary sage / culinary herbs (Salvia, Ocimum basilicum - basil, etc.);Various domestication dates;Mediterranean / Asia;Shallow;Low–medium;400–1200 mm/yr;5–30;High;Loam, well-drained;1;3;8 (leaf/herb t/ha varies);;;;;;
Basil (Ocimum basilicum);Domesticated;India/Asia;Shallow;Medium;500–1200 mm/yr;15–30;High;Loam;2;6;20;;;;;;
Mint (Mentha spp.);Domesticated historically;Europe/Asia;Shallow;Medium;600–1200 mm/yr;5–30;Medium;Loam;2;6;15;;;;;;
Aloe vera (Aloe vera);Cultivated historically;Arabian Peninsula / North Africa;Shallow;Low;200–800 mm/yr;15–40;High;Sandy, well-drained;2;8;20 (leaf gel t/ha);;;;;;
Amla / Indian gooseberry (Phyllanthus emblica);Domesticated historically;Indian subcontinent;Deep;Medium;600–1200 mm/yr;10–35;High;Loam;2;8;20;;;;;;
Moringa (Moringa oleifera);Domesticated historically;Indian subcontinent;Shallow–deep;Low–medium;250–1500 mm/yr;20–35;High;Sandy loam to loam;2;6;20;;;;;;
Neem (Azadirachta indica) (cultivated for medicinal/industrial);Domesticated;Indian subcontinent;Deep;Low–medium;400–1000 mm/yr;15–35;High;Sandy loam;1;4;12;;;;;;
Willow / Salix spp. (domesticated/cultivars for basketry/biomass);Historical;Northern Hemisphere;Deep;Medium;600–1500 mm/yr;0–30;Medium;Loam, moist soils;10;30;80;;;;;;
Industrial hemp (Cannabis sativa — fiber/seed);Ancient;Central Asia;Shallow–medium;Medium;400–900 mm/yr;10–30;High;Loam;1;3;6;;;;;;
Jute (Corchorus olitorius/Corchorus capsularis);Domesticated;South Asia;Shallow;Medium;1200–2000 mm/yr;20–30;High;Clay loam, alluvial soils;5;10;20 (fiber t/ha);;;;;;
Kenaf (Hibiscus cannabinus);Cultivated;Africa/Asia;Shallow–medium;Medium;800–1500 mm/yr;18–30;High;Loam;4;10;25;;;;;;
Rubber (Hevea brasiliensis);Domesticated;Amazonia (domesticated in SE Asia plantations historically);Deep;High;1500–3000 mm/yr;20–34;High;Deep loam;1;3;6 (latex t/ha/year varies);;;;;;
Silk (Mulberry - Morus spp. cultivated for sericulture);Cultivated;China;Shallow–medium;Medium;600–1200 mm/yr;5–30;Medium;Loam;10;30;80 (leaf t/ha);;;;;;
Agarwood (Aquilaria spp. cultivated);Domesticated practices recent;Southeast Asia;Shallow–medium;Medium;1500–3000 mm/yr;20–30;High;Loam;0.1;0.5;2.0 (wood t/ha);;;;;;
Mushroom — Button / White (Agaricus bisporus) (cultivated fungus);Cultivated modern;Europe;N/A (substrate-based);High (nutrient substrate);Controlled (12–24);Low–High (artificial light);Compost substrate;10;20;40 (fresh t/ha-equivalent in controlled houses);;;;;;;
Mushroom — Oyster (Pleurotus ostreatus) (cultivated fungus);Cultivated;Worldwide in modern times;N/A;High (substrate);Controlled (15–25);Low–Medium;Straw/wood substrate;8;15;50;;;;;;;
Mushroom — Shiitake (Lentinula edodes);Cultivated;East Asia;N/A;High (wood logs/substrate);Controlled (10–25);Low–Medium;Decayed hardwood logs;3;7;25;;;;;;;
Truffle (Tuber spp.) (cultivated/managed via orchards);Wildly harvested historically;Mediterranean/Europe;Mycorrhizal (soil humus depth important);Medium–rich;600–1200 mm/yr;5–25;Medium;Calcareous, well-drained;0.01;0.05;0.2 (truffle t/ha very low);;;;;;
Hop (Humulus lupulus);Domesticated;Europe;Shallow–medium;Medium;600–1200 mm/yr;5–25;High;Loam, deep fertile soils;0.5;2;6.0 (dried cones t/ha);;;;;;
Sisal (Agave sisalana) (fiber);Domesticated;Yucatán / Mexico & Central America;Shallow–medium;Low;200–800 mm/yr;18–35;High;Sandy, well-drained;2;6;15 (fiber);;;;;;
Agave (for mezcal/tequila, Agave tequilana);Domesticated;Mexico;Shallow–deep;Low–medium;400–1200 mm/yr;15–35;High;Rocky, well-drained soils;5;15;50 (piña mass t/ha);;;;;;
Maple (sugar maple — Acer saccharum) (sugar production from sap);Cultivated historically;North America;Shallow–deep;Medium;800–1200 mm/yr;0–25;Medium;Loam;0.5;2;5.0 (sugar equiv.);;;;;;
Buckthorn / Rhamnus spp. (traditional dyes/medicinal);Historical;Eurasia;Shallow;Low–medium;400–1000 mm/yr;5–30;Medium;Loam;0.5;2;5;;;;;;
Fonio (Digitaria exilis);Domesticated;West Africa;Shallow;Low–medium;200–800 mm/yr;20–35;High;Light sandy loam;0.2;0.9;2;;;;;;
African rice (Oryza glaberrima);Domesticated;West Africa;Shallow–medium;Medium;800–2000 mm/yr;20–30;High;Clay loam;0.5;1.5;4;;;;;;
Kola nut (Cola spp.);Domesticated;West Africa;Deep;Medium;1200–2000 mm/yr;20–30;High;Loam, high organic;0.2;0.8;2;;;;;;
Breadfruit (Artocarpus altilis);Domesticated;Pacific Islands;Shallow–medium;High;1500–3000 mm/yr;18–30;High;Loam, volcanic soils;5;20;60;;;;;;
Jackfruit (Artocarpus heterophyllus);Domesticated;South/Southeast Asia;Shallow–medium;High;1500–3000 mm/yr;18–30;High;Loam;5;20;60;;;;;;
Bread wheat durum (Triticum durum);~10000 BP;Fertile Crescent;Medium;Medium–rich;300–900 mm/yr;5–25;Medium;Loam;0.5;2.5;6;;;;;;
Emmer / Einkorn (ancient wheats) (Triticum dicoccum / monococcum);~12000 BP;Fertile Crescent;Shallow–medium;Low–medium;200–700 mm/yr;0–25;Medium;Loam;0.3;1;3;;;;;;
Spelt (Triticum spelta);~7000 BP;Near East / Europe;Medium;Medium;300–900 mm/yr;0–25;Medium;Loam;0.4;1.2;3.5;;;;;;
Blueberry (Vaccinium spp. — cultivated varieties);Domesticated/selected;North America;Shallow, acidic;Medium–rich (acidic);800–1400 mm/yr;5–25;Medium;Acidic loam, peat;2;6;15;;;;;;
Strawberry (Fragaria × ananassa);Domesticated hybrid (~18th c.);Europe/Chile crossbreeding;Shallow;High;600–1200 mm/yr;5–25;High;Loam, well-drained;5;20;60 (greenhouse higher);;;;;;
Blackberry / Raspberry (Rubus spp.);Domesticated selections;Eurasia/North America;Shallow–medium;Medium;600–1200 mm/yr;5–25;Medium;Loam;3;10;30;;;;;;
Elderberry (Sambucus nigra);Selective cultivation;Europe/North America;Shallow–medium;Medium;600–1200 mm/yr;0–25;Medium;Loam;1;4;10;;;;;;
Mulberry (Morus spp.);Cultivated historically;Asia;Shallow–medium;Medium;600–1200 mm/yr;5–30;Medium;Loam;2;8;20;;;;;;
Pecan (Carya illinoinensis);Domesticated/cultivated;North America;Deep;Medium–rich;600–1200 mm/yr;0–35;Medium;Deep loam;1;4;10;;;;;;
Macadamia (Macadamia integrifolia);Domesticated;Australia;Shallow–medium;Medium;800–2000 mm/yr;15–25;High;Deep, well-drained loam;0.5;2;6;;;;;;
Pine nut (Pinus spp. edible seeds);Harvested/cultivated;Northern Hemisphere;Deep;Low–medium;400–1200 mm/yr;-10–30;Medium;Sandy loam, rocky;0.05;0.2;0.8;;;;;;
Herb — Sage (Salvia officinalis);Domesticated historically;Mediterranean;Shallow;Low–medium;400–900 mm/yr;5–30;High;Loam, well-drained;1;3;8;;;;;;
Herb — Rosemary (Salvia rosmarinus);Domesticated;Mediterranean;Shallow;Low–medium;300–800 mm/yr;5–35;High;Sandy loam;1;3;8;;;;;;
Sacha inchi / Plukenetia volubilis (oilseed, Amazonian);Domesticated;Amazon;Shallow–medium;Medium;1500–3000 mm/yr;20–30;High;Loam;0.2;0.8;2;;;;;;
Guarana (Paullinia cupana);Domesticated;Amazon (Brazil);Shallow;Medium;1500–2500 mm/yr;20–30;High;Loam;0.1;0.4;1;;;;;;
Yacon (Smallanthus sonchifolius);Domesticated;Andes;Shallow;Medium;800–1500 mm/yr;8–25;High;Loam;5;15;40;;;;;;
Mestizo / Niche roots (oca, ulluco, mashua - Oxalis tuberosa, Ullucus tuberosus, Tropaeolum tuberosum);Domesticated;Andes;Shallow–medium;Medium;600–1500 mm/yr;2–20;Medium;Loam, well-drained;2;8;30;;;;;;
Climbing beans (Phaseolus coccineus - runner bean);Domesticated;Mesoamerica;Shallow–medium;Medium;600–1500 mm/yr;10–25;High;Loam;1;4;10;;;;;;
Luffa (Luffa aegyptiaca) (gourds for fiber/food);Domesticated;Asia/Africa;Shallow;Medium;600–1400 mm/yr;15–35;High;Loam;2;6;18;;;;;;
Madhuca / Mahua (Madhuca longifolia — edible flowers/oil);Cultivated;Indian subcontinent;Deep;Medium;600–1200 mm/yr;15–35;High;Loam;0.5;2;6;;;;;;
Soursop / Graviola (Annona muricata);Cultivated;Tropical Americas;Shallow–medium;Medium;1200–2500 mm/yr;20–30;High;Loam;2;8;25;;;;;;
Breadnut / Brosimum alicastrum;Cultivated historically;Mesoamerica;Deep;Medium;1200–2500 mm/yr;18–30;High;Loam;3;10;30;;;;;;
Moringa (oleifera) (leaf/seed multipurpose);Domesticated;Indian subcontinent;Shallow–deep;Low–medium;250–1500 mm/yr;18–35;High;Sandy loam to loam;2;6;18;;;;;;
Azolla (Azolla spp. — cultivated as green manure/animal feed);Cultivated;Asia (rice systems);N/A (aquatic);High (aquatic nutrients);Controlled/ambient;Low–Medium;Aquatic muddy substrates;5;15;40 (biomass t/ha);;;;;;;
Water chestnut (Eleocharis dulcis);Cultivated;China;Aquatic (shallow);Medium;1000–3000 mm/yr;15–30;High;Clayey submerged soils;10;30;80;;;;;;
Watermelon (Citrullus lanatus);Domesticated;Africa (North/Near Sahara);Shallow;Medium;400–1000 mm/yr;20–35;High;Sandy loam;10;30;80;;;;;;
Eggfruit / Canistel (Pouteria campechiana);Cultivated;Mesoamerica;Shallow–medium;Medium;1000–2500 mm/yr;18–30;High;Loam;1;5;15;;;;;;
Mango (selected above) — includes many cultivars and rootstocks;Ancient;South Asia;Shallow–medium;Medium–rich;750–2500 mm/yr;20–35;High;Deep loam;5;10;30;;;;;;
Black pepper (listed) — includes long pepper (Piper longum) domesticated in South Asia;Ancient;South Asia;Shallow;High;1500–3000 mm/yr;20–30;Medium;Loam;0.2;0.8;2;;;;;;
Honey locust / carob (Ceratonia siliqua) (pod crop for sugar/forage);Domesticated historically;Mediterranean;Deep;Low–medium;300–700 mm/yr;5–35;High;Stony, calcareous soils;1;3;8;;;;;;
Carob (Ceratonia siliqua) (listed) ;Ancient;Mediterranean;Deep;Low–medium;300–700 mm/yr;5–35;High;Stony calcareous;1;3;8;;;;;;
Soursop and Atemoya (Annonaceae hybrids; cultivated tropical fruits);Cultivated;Tropical Americas;Shallow–medium;Medium;1200–2500 mm/yr;18–30;High;Loam;2;8;25;;;;;
Breadfruit (Artocarpus altilis) (listed) — includes seeded and seedless cultivars;Ancient;Pacific;Shallow–medium;High;1500–3000 mm/yr;18–30;High;Loam;5;20;60;;;;;;
Kava (Piper methysticum) (traditional Pacific medicinal/drink crop);Domesticated;Pacific Islands;Shallow;Medium;1500–3000 mm/yr;18–30;High;Loam, high organic;1;4;12;;;;;;
Betel vine (Piper betle);Cultivated;South/Southeast Asia;Shallow;Medium;1200–2500 mm/yr;18–30;High;Loam, well-drained;1;4;12;;;;;;
Tobacco (Nicotiana tabacum);Domesticated;South America (domesticated in Americas, spread widely);Shallow;Medium;600–1200 mm/yr;15–30;High;Loam;1;2.5;6.0 (leaf t/ha);;;;;;
Arrowroot (listed) — includes Maranta, tapioca/cassava separately;Ancient;Tropics;Shallow;Medium;1500–3000 mm/yr;20–30;High;Sandy loam;5;10;25;;;;;;
Amphicarpaea / Groundnut (Amphicarpaea bracteata — lesser-known edible tuber/seed domestication attempts);Historical/modern selections;East Asia / North America;Shallow;Low–medium;500–1200 mm/yr;5–25;Medium;Loam, shaded woodland soils;0.1;0.5;1.5;;;;;;
